Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2019/12/17,GME,GME,S,EDGX,1476
2019/12/18,GME,GME,S,BATS,2312
2019/12/18,GME,GME,S,C2,10888
2019/12/18,GME,GME,S,CBOE,2521
2019/12/18,GME,GME,S,EDGX,999
2019/12/19,GME,GME,S,BATS,720
2019/12/19,GME,GME,S,C2,24
2019/12/19,GME,GME,S,CBOE,964
2019/12/19,GME,GME,S,EDGX,540
2019/12/20,GME,GME,S,BATS,4794
2019/12/20,GME,GME,S,C2,525
2019/12/20,GME,GME,S,CBOE,7264
2019/12/20,GME,GME,S,EDGX,1153
2019/12/23,GME,GME,S,BATS,3421
2019/12/23,GME,GME,S,C2,347
2019/12/23,GME,GME,S,CBOE,1685
2019/12/23,GME,GME,S,EDGX,319
2019/12/24,GME,GME,S,BATS,586
2019/12/24,GME,GME,S,C2,85
2019/12/24,GME,GME,S,CBOE,752
2019/12/24,GME,GME,S,EDGX,467
2019/12/26,GME,GME,S,BATS,1244
2019/12/26,GME,GME,S,C2,537
2019/12/26,GME,GME,S,CBOE,1069
2019/12/26,GME,GME,S,EDGX,288
2019/12/27,GME,GME,S,BATS,4955
2019/12/27,GME,GME,S,C2,159
2019/12/27,GME,GME,S,CBOE,2577
2019/12/27,GME,GME,S,EDGX,749
2019/12/30,GME,GME,S,BATS,8032
2019/12/30,GME,GME,S,C2,219
2019/12/30,GME,GME,S,CBOE,3705
2019/12/30,GME,GME,S,EDGX,1410
2019/12/31,GME,GME,S,BATS,3260
2019/12/31,GME,GME,S,C2,191
2019/12/31,GME,GME,S,CBOE,2665
2019/12/31,GME,GME,S,EDGX,1805
2020/01/02,GME,GME,S,BATS,2642
2020/01/02,GME,GME,S,C2,3508
2020/01/02,GME,GME,S,CBOE,3052
2020/01/02,GME,GME,S,EDGX,659
2020/01/03,GME,GME,S,BATS,3122
2020/01/03,GME,GME,S,C2,469
2020/01/03,GME,GME,S,CBOE,1231
2020/01/03,GME,GME,S,EDGX,493
2020/01/06,GME,GME,S,BATS,1095
2020/01/06,GME,GME,S,C2,31
2020/01/06,GME,GME,S,CBOE,1111
