Date,Open,High,Low,Close,Adj Close,Volume,MEAN,%Change,Log%Chang,Variance,Stdev,Volitility (w/ 21days),Sharpe Ratio,,
2020-10-15,11.99,15.10,11.99,13.83,13.83,39894800,131.81,0.039068369646882,0.038324513269647,0.023137166207065,0.152109060239898,0.697051282437931,5.02292039001448,,
2020-10-16,13.77,13.90,13.08,13.31,13.31,11651600,132.30,-0.0431344356578,-0.044092373528331,0.023223941428537,0.152394033441396,0.698357193704829,-5.86210721918955,,
2020-10-19,13.44,14.50,13.38,13.91,13.91,13169100,132.80,0.003607503607504,0.003601012173594,0.023316829175322,0.152698491070874,0.69975239383782,0.449621624413617,,
2020-10-20,14.03,14.14,13.67,13.86,13.86,6604000,133.29,-0.017021276595745,-0.017167803622366,0.023414357187145,0.153017506146012,0.70121430456747,-2.31689247988562,,
2020-10-21,13.90,14.42,13.80,14.10,14.10,5361900,133.80,-0.054325955734407,-0.055857331392525,0.023513390673562,0.153340766508982,0.702695669649959,-7.50195683586377,,
2020-10-22,14.20,15.87,14.19,14.91,14.91,16212200,134.30,-0.006,-0.006018072325563,0.023604709702666,0.153638242969211,0.704058878046425,-0.836640937496009,,
2020-10-23,15.05,15.38,14.55,15.00,15.00,6507300,134.81,0.115241635687732,0.109071095054362,0.023705500356276,0.153965906473724,0.705560420858333,14.6752091516496,,
2020-10-26,14.93,15.45,13.26,13.45,13.45,13376300,135.32,0.059889676910954,0.058164824321552,0.023745652342386,0.154096243764688,0.706157701360047,7.84236105035104,,
2020-10-27,13.71,13.71,12.36,12.69,12.69,7231000,135.84,0.073604060913706,0.071021269748344,0.023827310184962,0.154360973646068,0.707370846080188,9.61909166355253,,
2020-10-28,12.27,13.05,11.78,11.82,11.82,6388600,136.37,0.0076726342711,0.007643349312568,0.023901014688902,0.154599530041013,0.708464048817542,1.01406459240401,,
2020-10-29,11.88,12.25,11.68,11.73,11.73,4165800,136.90,0.120343839541547,0.113635637782939,0.024003310452154,0.154930017918265,0.709978534531315,15.5288966928521,,
2020-10-30,11.64,11.64,10.36,10.47,10.47,11546900,137.44,-0.026046511627907,-0.026391729691226,0.024039219335847,0.155045862040387,0.710509398989753,-3.65555838777323,,
2020-11-02,10.82,11.09,10.50,10.75,10.75,5227000,138.00,-0.070872947277442,-0.073509786631913,0.024143774322929,0.155382670600452,0.712052849710961,-10.1722178167824,,
2020-11-03,10.75,11.86,10.63,11.57,11.57,7454500,138.55,0.060494958753437,0.058735741360606,0.02423350001622,0.155671127754056,0.713374726452102,8.10995765734744,,
2020-11-04,11.76,11.77,10.61,10.91,10.91,5807900,139.11,-0.047161572052402,-0.048309930155269,0.024318537491179,0.155944020376475,0.714625277550933,-6.74836200179529,,
2020-11-05,11.27,11.84,11.06,11.45,11.45,4705200,139.67,-0.034569983136594,-0.035181663569331,0.024420810913456,0.156271593430973,0.716126405868799,-4.94190441079646,,
2020-11-06,11.52,12.17,11.32,11.86,11.86,5518200,140.24,0.032201914708442,0.031694301708915,0.024527438719528,0.156612383672326,0.717688102945899,4.41699630151862,,
2020-11-09,12.76,12.93,11.25,11.49,11.49,6244900,140.81,0.035135135135135,0.034531983542376,0.024628837589075,0.156935775363919,0.719170069851745,4.83471857053623,,
2020-11-10,11.50,11.66,10.83,11.10,11.10,3826000,141.39,-0.05531914893617,-0.05690813227188,0.024729909746699,0.157257463246418,0.720644228923447,-8.07397343367394,,
2020-11-11,11.50,11.95,11.21,11.75,11.75,4882600,141.97,0.05570530098832,0.054209075302714,0.024832797243526,0.157584254427676,0.722141774248003,7.66857850738439,,
2020-11-12,11.74,11.87,10.97,11.13,11.13,4353300,142.56,0.010899182561308,0.010840214552865,0.024925549751739,0.157878275110095,0.723489146281074,1.5177425412852,,
2020-11-13,11.36,11.55,11.00,11.01,11.01,3535900,143.16,-0.087064676616916,-0.091090240564451,0.025036870754779,0.158230435614577,0.725102948449637,-13.0676242108104,,
2020-11-16,11.16,12.66,10.72,12.06,12.06,9774800,143.76,0.036973344797936,0.036306224768466,0.025123318600496,0.158503370943637,0.726353695254883,5.19169789599339,,
2020-11-17,11.65,11.92,11.23,11.63,11.63,6678200,144.36,0.005185825410545,0.005172425324988,0.025228190036911,0.158833844116771,0.727868113585917,0.719199406458883,,
2020-11-18,11.80,12.04,11.56,11.57,11.57,3169200,144.97,-0.071428571428572,-0.074107972153722,0.025343543021946,0.159196554679885,0.72953026219675,-10.7705552591134,,
2020-11-19,11.60,12.79,11.45,12.46,12.46,11787600,145.58,-0.019669551534225,-0.019865571842056,0.025443701932568,0.15951082073818,0.730970410197243,-2.91940639691982,,
2020-11-20,12.55,13.46,12.54,12.71,12.71,8395400,146.20,-0.085611510791367,-0.089499754935283,0.025562325112252,0.159882222627319,0.732672387467472,-13.1119004453339,,
2020-11-23,12.90,14.12,12.67,13.90,13.90,9599100,146.82,0.016825164594002,0.016685189400788,0.025654159164363,0.160169157968576,0.73398729038834,2.42243693029343,,
2020-11-24,14.23,14.26,13.30,13.67,13.67,7183200,147.44,-0.073220338983051,-0.076039432049971,0.025771310887309,0.160534453894821,0.735661286621416,-11.2383692078751,,
2020-11-25,13.60,15.25,13.42,14.75,14.75,8860100,148.07,-0.08271144278607,-0.086333180964991,0.025873911173236,0.160853694931872,0.73712423283864,-12.8102352604903,,
